community_area_name,ccvi_score,ccvi_category,geography_type,rank_age_65_plus,rank_adults_no_pcp,community_area_or_zip,rank_covid_19_incidence_rate,rank_covid_19_crude_mortality_rate
Ashburn,45.1,MEDIUM,CA,29,28,70,59,39
Rogers Park,30.9,LOW,CA,7,38,1,35,14
Lake View,5.2,LOW,CA,5,10,6,9,2
Jefferson Park,25.6,LOW,CA,54,26,11,37,25
Archer Heights,53.3,HIGH,CA,37,30,57,73,56
South Shore,45.6,MEDIUM,CA,41,41,43,17,50
Austin,52.9,HIGH,CA,43,53,25,54,58
Grand Boulevard,41.3,MEDIUM,CA,47,34,38,36,27
West Garfield Park,47.4,MEDIUM,CA,30,74,26,34,30
West Pullman,49.2,HIGH,CA,58,37,53,12,69
Portage Park,34.3,MEDIUM,CA,38,16,15,57,33
Avondale,28.5,LOW,CA,16,23,21,51,13
Burnside*,58.4,HIGH,CA,75,1,47,45,76
Brighton Park,48.5,HIGH,CA,15,63,58,68,52
South Lawndale,58.2,HIGH,CA,11,69,30,70,74
West Elsdon,48.6,HIGH,CA,21,70,62,71,53
West Ridge,36.0,MEDIUM,CA,41,13,2,49,29
Morgan Park,43.3,MEDIUM,CA,66,56,75,32,54
Lincoln Park,7.3,LOW,CA,15,19,7,15,3
New City,59.7,HIGH,CA,31,75,61,61,59
North Lawndale,58.5,HIGH,CA,26,63,29,46,72
Kenwood,24.9,LOW,CA,59,50,39,4,12
Auburn Gresham,48.2,HIGH,CA,63,47,71,25,41
Logan Square,27.7,LOW,CA,2,59,22,47,24
Armour Square,30.9,LOW,CA,74,0,34,2,42
Chicago Lawn,57.8,HIGH,CA,33,46,66,69,60
Norwood Park,31.2,LOW,CA,69,8,10,41,37
Riverdale,35.6,MEDIUM,CA,0,68,54,1,48
Albany Park,38.2,MEDIUM,CA,19,53,14,53,36
Woodlawn,37.8,MEDIUM,CA,37,72,42,21,23
Mount Greenwood,30.5,LOW,CA,34,11,74,56,19
Uptown,24.4,LOW,CA,35,67,3,23,15
Near South Side,15.0,LOW,CA,26,76,33,14,6
Douglas,36.0,MEDIUM,CA,46,67,35,20,36
South Chicago,43.8,MEDIUM,CA,42,33,46,13,57
West Lawn,48.5,HIGH,CA,22,4,65,76,46
Montclare,52.8,HIGH,CA,60,65,18,65,63
Humboldt Park,52.4,HIGH,CA,15,61,23,60,50
Avalon Park,44.2,MEDIUM,CA,72,5,45,10,55
Bridgeport,21.6,LOW,CA,39,31,60,11,16
Near West Side,20.0,LOW,CA,3,43,28,38,8
Beverly,27.4,LOW,CA,61,25,72,40,20
North Park,40.6,MEDIUM,CA,70,24,13,50,51
Hegewisch,35.8,MEDIUM,CA,68,20,55,64,22
Pullman,46.4,MEDIUM,CA,49,41,50,27,71
Edgewater,17.3,LOW,CA,49,23,77,5,9
Near North Side,12.1,LOW,CA,55,14,8,24,5
Washington Park,41.2,MEDIUM,CA,4,42,40,22,40
West Englewood,63.7,HIGH,CA,71,48,67,52,75
Lincoln Square,15.0,LOW,CA,11,21,4,8,21
Oakland,31.3,LOW,CA,8,19,36,18,18
Roseland,54.7,HIGH,CA,64,44,49,30,67
Clearing,42.7,MEDIUM,CA,33,36,64,62,44
Belmont Cragin,52.4,HIGH,CA,15,60,19,74,62
South Deering,52.5,HIGH,CA,52,51,51,44,47
Englewood,55.3,HIGH,CA,45,45,68,33,65
Dunning,36.0,MEDIUM,CA,62,29,17,58,32
Loop,8.3,LOW,CA,18,64,32,6,2
Forest Glen,18.9,LOW,CA,67,7,12,29,7
Washington Heights,53.2,HIGH,CA,66,54,73,31,61
Chatham,43.0,MEDIUM,CA,53,9,44,16,43
Hyde Park,16.7,LOW,CA,52,73,41,0,0
East Garfield Park,47.9,HIGH,CA,21,27,27,43,38
Garfield Ridge,49.0,HIGH,CA,52,15,56,67,64
West Town,18.2,LOW,CA,1,49,24,42,10
Edison Park,24.2,LOW,CA,57,6,9,39,17
O'Hare,19.0,LOW,CA,56,41,76,7,11
McKinley Park,36.8,MEDIUM,CA,28,35,59,55,28
Fuller Park*,50.1,HIGH,CA,76,12,37,28,66
Lower West Side,48.9,HIGH,CA,17,55,31,63,68
East Side,43.9,MEDIUM,CA,27,57,52,66,26
Hermosa,50.3,HIGH,CA,24,3,20,72,70
North Center,4.0,LOW,CA,6,2,5,3,4
Calumet Heights,46.1,MEDIUM,CA,73,17,48,26,45
Irving Park,30.3,LOW,CA,23,32,16,48,31
Greater Grand Crossing,46.0,MEDIUM,CA,45,71,69,19,34
Gage Park,58.8,HIGH,CA,9,58,63,75,73
