trip_id,trip_start,trip_end,trip_seconds,trip_miles,fare,pickup_community_area,dropoff_community_area,pickup_centroid_latitude,pickup_centroid_longitude,dropoff_centroid_latitude,dropoff_centroid_longitude,trip_duration,community_area_name,ccvi_score,ccvi_category,geography_type,rank_age_65_plus,rank_adults_no_pcp,community_area_or_zip,rank_covid_19_incidence_rate,rank_covid_19_crude_mortality_rate
6ba877172c9fbc48b484f817e9ed0e794c8c613b,2019-03-04 21:00:00,2019-03-04 21:15:00,803,3.746369444408,7.5,8,24,41.8950334495,-87.6197106717,41.9083786693,-87.6709450752,0 days 00:15:00,Near North Side,12.1,LOW,CA,55,14,8,24,5
6ba879b1365f87de619dd54bb6194e91e27533f3,2018-12-29 19:00:00,2018-12-29 19:15:00,995,6.45478260752,12.5,8,3,41.9074919303,-87.6357600901,41.9726679555,-87.6638654956,0 days 00:15:00,Near North Side,12.1,LOW,CA,55,14,8,24,5
6ba87b70ee5482e3c2a7519c8bd38e4bf6c49438,2019-02-24 13:15:00,2019-02-24 13:30:00,498,1.01790063648,5.0,8,8,41.8932163595,-87.6378442095,41.8983317935,-87.6207628651,0 days 00:15:00,Near North Side,12.1,LOW,CA,55,14,8,24,5
6ba87cd13103938d45270bc390672760061d6652,2019-01-06 00:45:00,2019-01-06 00:45:00,307,0.68187210364096,5.0,8,32,41.8932163595,-87.6378442095,41.8849871918,-87.6209929134,0 days 00:00:00,Near North Side,12.1,LOW,CA,55,14,8,24,5
6ba88279b4824fedc912ebd7663c783c9474bddb,2019-02-02 11:15:00,2019-02-02 11:15:00,476,1.5908581376,5.0,8,32,41.8919715078,-87.6129454143,41.8809944707,-87.6327464887,0 days 00:00:00,Near North Side,12.1,LOW,CA,55,14,8,24,5
6ba8856cc54bc11ab8440dbcc3bc5146fbb6355b,2019-03-13 19:00:00,2019-03-13 19:00:00,171,0.43619256126119,2.5,8,8,41.8932163595,-87.6378442095,41.8920421365,-87.6318639497,0 days 00:00:00,Near North Side,12.1,LOW,CA,55,14,8,24,5
6ba889a5153d140b60a4c324ab48cdf57b940c12,2018-12-09 03:00:00,2018-12-09 03:00:00,352,0.95824345632,7.5,8,8,41.8991556134,-87.6262105324,41.9075200747,-87.6266589003,0 days 00:00:00,Near North Side,12.1,LOW,CA,55,14,8,24,5
6ba88d749fd54d1b1337fc6bf2698359f2e953ba,2019-02-07 19:15:00,2019-02-07 19:30:00,915,2.31109430224,10.0,8,28,41.8925077809,-87.6262149064,41.8852813201,-87.6572331997,0 days 00:15:00,Near North Side,12.1,LOW,CA,55,14,8,24,5
6ba8941e2b1b1921bacd36033d210d74a8dee588,2019-03-12 22:00:00,2019-03-12 22:30:00,1919,13.74809777,22.5,8,43,41.899602111,-87.6333080367,41.7615779081,-87.5727819867,0 days 00:30:00,Near North Side,12.1,LOW,CA,55,14,8,24,5
6ba89aa685487f586d776dc2595881c4c2d57adf,2019-01-13 18:30:00,2019-01-13 18:45:00,1108,3.12664612619417,2.5,8,28,41.8920421365,-87.6318639497,41.8786674201,-87.6716536214,0 days 00:15:00,Near North Side,12.1,LOW,CA,55,14,8,24,5
